GeneNames,logFC,p_values
CUL1,,0.00531202015923753
FAM114A2,,1.59667476128415E-07
CYFIP2,,1.91900059221852E-04
TAB2,,0.12495046126381
GINM1,,3.10300306900965E-05
EIF2AK2,,0.00270853519030904
USP36,,0.214028810451723
KMT2C,,0.600290511377537
MCOLN3,,0.589788774201049
CCDC85A,,0.0254502321511498
PUM2,,8.74902562259188E-05
MRPL43,,0.00442485226314871
ITIH1,,0.655066482833464
HPF1,,0.791442111692172
ZFR,,0.448995752207204
ZNF280C,,0.19332387487623
NPFFR2,,0.383831145440946
PHF21B,,0.225114625408734
TRAF1,,0.105248335102732
RC3H2,,0.234391160882199
IL17RB,,7.35063789322704E-04
TRAF3IP2,,1.26318503146198E-06
GYG2,,0.0417603542907959
DCBLD2,,0.0122179429375405
SERPINB3,,0.660411722947522
SOAT1,,0.00323971528595988
PKP2,,0.669497930586185
MSH4,,0.672298720249411
F7,,0.0595818315143339
GDI2,,0.0016313492451333
PRDM1,,1.56732678357582E-05
ATG5,,0.775584123694538
TMCC3,,0.0369439225371939
PITHD1,,1.45037531043871E-06
MTA3,,0.00144514399430368
ATP11B,,0.488870805318122
LAMC2,,0.528781150935767
CDK14,,0.00913969766967278
SEC61A1,,1.68244904102801E-07
PPP1R12A,,0.624574622118116
RASGRF1,,0.25367171712239
CAMK2B,,4.35349079341934E-11
CROCC,,0.463734918772932
POLR3E,,0.675654398707154
ATP2B4,,1.66012006542678E-04
RIOK2,,0.334847821981248
YIPF1,,0.450044314023147
NDC1,,0.596151794143158
DGKG,,0.135425163306251
FLYWCH1,,7.56274690574611E-05
UNKL,,0.06766140111555
TBXAS1,,1.82369298678118E-07
PARP12,,3.97698627741797E-06
ALDH18A1,,5.52142910178362E-06
TARBP1,,0.145183853237558
GATB,,3.92442982827993E-05
MXD1,,9.54466827254017E-04
CDK17,,0.0118054609392739
DNAJC25,,0.117453849192119
SLC2A3,,0.0939864341167409
PSD,,6.63375994152393E-06
CTDP1,,0.167411115446454
YBX3,,0.0016808410491923
STYK1,,5.40321585120828E-07
WNK1,,
RPS17P5,,0.00179134788315613
CCAR1,,0.81849019790845
OGFR,,
GNA15,,0.52788479818622
CREB3L3,,0.278397566598712
PIGV,,0.461704744051479
PTPRU,,
SNRNP40,,0.0318763110332661
RIMBP2,,1.1568216681897E-05
COL11A1,,1.05503170971909E-07
QSER1,,0.00515103639464695
MPC1,,
ACAA1,,0.620109982323271
BCAT1,,2.00742658814946E-05
HDAC7,,0.261976523214067
LZTS1,,0.449163735470971
PRDM6,,0.206307737593184
WNT8A,,0.294001135583613
SPAG4,,0.256256226637397
NCKAP1,,0.801864509792255
